Designator,Footprint,Quantity,Value,LCSC Part #
"+VBATT, GND",SolderWirePad_1x01_SMD_4x4mm,2,Conn_01x01_Socket,
"BOOT, J7",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
"C1, C2, C4, C5, C6",1206,5,10u,
C3,1206,1,100n,
"D1, D2",1206,2,LED,
D3,D_DO-201AD_P15.24mm_Horizontal,1,~,
IC1,ESP32C3MINI1N4,1,ESP32-C3-MINI-1-N4,
J1,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
J5,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Screw_Terminal_01x02,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
K2,SRD03VDCSLC,1,SRD-03VDC-SL-C,
Q1,SOT-23,1,IRLML0030,
"R1, R10, R15, R5, R8",1206,5,10k,
"R11, R12, R13, R14, R2, R6",1206,6,5k1,
R3,1206,1,0.4R,
"R4, R7",1206,2,1k,
R9,1206,1,22k,
U1,SOT-23-5,1,AP2112K-3.3,
U2,SOP127P600X175-9N,1,TP4056,
